PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,NUMTRD,Ticker
12490,11/19/2019,134.46001,135.38,134.52,2995071,134.5,134.52,,
12490,11/20/2019,132.75,134.4614,133.2,4140148,133.16,133.17,,
12490,11/21/2019,132.98,134.17,133.84,3345343,133.82001,133.84,,
12490,11/22/2019,133.59,134.64999,134.34,3297797,134.3,134.32001,,
12490,11/25/2019,134.35001,136,135.97,2590170,135.92,135.96001,,
12490,11/26/2019,134.77,136.14999,135.09,3793337,135.02,135.06,,
12490,11/27/2019,133.62,135.71001,133.77,3282827,133.78,133.78999,,
12490,11/29/2019,133.03,134.52,134.45,1825255,134.42,134.45,,
12490,12/2/2019,132.48,134.5,132.91,3067831,132.95,132.99001,,
12490,12/3/2019,130.689,132.44,132.12,3711071,132.08,132.10001,,
12490,12/4/2019,131.96001,133.67999,131.99001,3530773,132.03999,132.06,,
12490,12/5/2019,131.6264,133.24001,131.91,3598578,131.92,131.95,,
12490,12/6/2019,132.7,133.89,133.22,3437994,133.19,133.2,,
12490,12/9/2019,133.25999,134.59,133.92,2978801,133.92999,133.94,,
12490,12/10/2019,133.56,134.84,133.91,3480385,133.89,133.89999,,
12490,12/11/2019,133.67,134.50999,133.75999,3953311,133.75999,133.78,,
12490,12/12/2019,133.66,135.6604,135.32001,4824186,135.31,135.32001,,
12490,12/13/2019,134.00999,135.5,134.21001,2534970,134.19,134.23,,
12490,12/16/2019,133.85001,135.45,134.13,3049325,134.11,134.12,,
12490,12/17/2019,133.46001,134.69,134.22,2907547,134.17,134.2,,
12490,12/18/2019,134.15041,135,134.41,3102353,134.42999,134.45,,
12490,12/19/2019,134.19,134.72501,134.56,3866717,134.48,134.53,,
12490,12/20/2019,134.95,136.42,135.59,7112072,135.60001,135.62,,
12490,12/23/2019,135,136.14999,135.55,2803168,135.52,135.55,,
12490,12/24/2019,134.61,135.62,134.98,1202087,134.95,134.98,,
12490,12/26/2019,134.64999,135.3055,134.91,2130706,134.91,134.94,,
12490,12/27/2019,134.87,135.75,135.27,2752706,135.27,135.28,,
12490,12/30/2019,132.5,135.3,132.81,4118937,132.74001,132.77,,
12490,12/31/2019,132.39999,134.12,134.03999,3778012,133.97,134,,
12490,1/2/2020,134.7701,135.92,135.42,3148833,135.42,135.46001,,
12490,1/3/2020,133.56,134.86,134.34,2373676,134.32001,134.33,,
